ElementName,Type,Description,Segment,COM,SEG,PixelCount
# ============================================================================
# GD303 Mini LCD段码映射表
# 根据 firmware/gd303_mini/drivers/drv_seg_lcd.c 自动生成
# COM位定义: COM0=bit7, COM1=bit6, COM2=bit5, COM3=bit4, COM4=bit3, COM5=bit2, COM6=bit1, COM7=bit0
# ============================================================================

# ============================================================================
# 第四行数字 (主显示区) - SEG 23,24,25,26,27
# ============================================================================
Line4_D1,digit,第四行第1位,A,2,23,0
Line4_D1,digit,第四行第1位,B,4,23,0
Line4_D1,digit,第四行第1位,C,5,23,0
Line4_D1,digit,第四行第1位,D,1,23,0
Line4_D1,digit,第四行第1位,E,3,23,0
Line4_D1,digit,第四行第1位,F,6,23,0
Line4_D1,digit,第四行第1位,G,7,23,0
Line4_D2,digit,第四行第2位,A,0,24,0
Line4_D2,digit,第四行第2位,B,2,24,0
Line4_D2,digit,第四行第2位,C,7,24,0
Line4_D2,digit,第四行第2位,D,3,24,0
Line4_D2,digit,第四行第2位,E,5,24,0
Line4_D2,digit,第四行第2位,F,4,24,0
Line4_D2,digit,第四行第2位,G,6,24,0
Line4_D3,digit,第四行第3位,A,0,25,0
Line4_D3,digit,第四行第3位,B,2,25,0
Line4_D3,digit,第四行第3位,C,7,25,0
Line4_D3,digit,第四行第3位,D,3,25,0
Line4_D3,digit,第四行第3位,E,5,25,0
Line4_D3,digit,第四行第3位,F,4,25,0
Line4_D3,digit,第四行第3位,G,6,25,0
Line4_D4,digit,第四行第4位,A,0,26,0
Line4_D4,digit,第四行第4位,B,2,26,0
Line4_D4,digit,第四行第4位,C,7,26,0
Line4_D4,digit,第四行第4位,D,3,26,0
Line4_D4,digit,第四行第4位,E,5,26,0
Line4_D4,digit,第四行第4位,F,4,26,0
Line4_D4,digit,第四行第4位,G,6,26,0
Line4_D5,digit,第四行第5位,A,0,27,0
Line4_D5,digit,第四行第5位,B,2,27,0
Line4_D5,digit,第四行第5位,C,7,27,0
Line4_D5,digit,第四行第5位,D,3,27,0
Line4_D5,digit,第四行第5位,E,5,27,0
Line4_D5,digit,第四行第5位,F,4,27,0
Line4_D5,digit,第四行第5位,G,6,27,0

# 第四行小数点 - SEG 24,25,26
Line4_DP1,icon,第四行小数点1(千位后),DP,1,24,0
Line4_DP2,icon,第四行小数点2(百位后),DP,1,25,0
Line4_DP3,icon,第四行小数点3(十位后),DP,1,26,0

# 第四行单位 - SEG 27,28,30,31
Line4_Unit,unit,第四行单位bit0,U0,1,27,0
Line4_Unit,unit,第四行单位bit1,U1,1,28,0
Line4_Unit,unit,第四行单位bit2,U2,1,30,0
Line4_Unit,unit,第四行单位bit3,U3,1,31,0

# 第四行次方(m²/m³) - SEG 30,31
Line4_Exp,icon,次方A,A,6,31,0
Line4_Exp,icon,次方B,B,7,31,0
Line4_Exp,icon,次方C,C,5,31,0
Line4_Exp,icon,次方D,D,3,31,0
Line4_Exp,icon,次方E,E,5,30,0
Line4_Exp,icon,次方F,F,6,30,0
Line4_Exp,icon,次方G,G,7,30,0

# ============================================================================
# 第三行数字 - SEG 17,18,19,20,21
# ============================================================================
Line3_D1,digit,第三行第1位,A,3,17,0
Line3_D1,digit,第三行第1位,B,5,17,0
Line3_D1,digit,第三行第1位,C,4,17,0
Line3_D1,digit,第三行第1位,D,0,17,0
Line3_D1,digit,第三行第1位,E,2,17,0
Line3_D1,digit,第三行第1位,F,7,17,0
Line3_D1,digit,第三行第1位,G,6,17,0
Line3_D2,digit,第三行第2位,A,1,18,0
Line3_D2,digit,第三行第2位,B,3,18,0
Line3_D2,digit,第三行第2位,C,6,18,0
Line3_D2,digit,第三行第2位,D,2,18,0
Line3_D2,digit,第三行第2位,E,4,18,0
Line3_D2,digit,第三行第2位,F,5,18,0
Line3_D2,digit,第三行第2位,G,7,18,0
Line3_D3,digit,第三行第3位,A,1,19,0
Line3_D3,digit,第三行第3位,B,3,19,0
Line3_D3,digit,第三行第3位,C,6,19,0
Line3_D3,digit,第三行第3位,D,2,19,0
Line3_D3,digit,第三行第3位,E,4,19,0
Line3_D3,digit,第三行第3位,F,5,19,0
Line3_D3,digit,第三行第3位,G,7,19,0
Line3_D4,digit,第三行第4位,A,1,20,0
Line3_D4,digit,第三行第4位,B,3,20,0
Line3_D4,digit,第三行第4位,C,6,20,0
Line3_D4,digit,第三行第4位,D,2,20,0
Line3_D4,digit,第三行第4位,E,4,20,0
Line3_D4,digit,第三行第4位,F,5,20,0
Line3_D4,digit,第三行第4位,G,7,20,0
Line3_D5,digit,第三行第5位,A,3,21,0
Line3_D5,digit,第三行第5位,B,5,21,0
Line3_D5,digit,第三行第5位,C,4,21,0
Line3_D5,digit,第三行第5位,D,0,21,0
Line3_D5,digit,第三行第5位,E,2,21,0
Line3_D5,digit,第三行第5位,F,7,21,0
Line3_D5,digit,第三行第5位,G,6,21,0

# 第三行小数点 - SEG 18,19,20
Line3_DP1,icon,第三行小数点1,DP,0,18,0
Line3_DP2,icon,第三行小数点2,DP,0,19,0
Line3_DP3,icon,第三行小数点3,DP,0,20,0

# 第三行单位 - SEG 35,34,33,32
Line3_Unit,unit,第三行单位bit0,U0,6,35,0
