ElementName,Type,Description,Segment,COM,SEG,PixelCount
Angle_Decimal,digit,角度小数位,A,0,1,0
Angle_Decimal,digit,角度小数位,B,2,1,0
Angle_Decimal,digit,角度小数位,C,4,1,0
Angle_Decimal,digit,角度小数位,D,6,1,0
Angle_Decimal,digit,角度小数位,E,4,2,0
Angle_Decimal,digit,角度小数位,F,0,2,0
Angle_Decimal,digit,角度小数位,G,2,2,0
Angle_DP,icon,角度小数点,dp,6,2,0
Angle_Minus,icon,角度负号,minus,6,6,0
Angle_Ones,digit,角度个位,A,0,3,0
Angle_Ones,digit,角度个位,B,2,3,0
Angle_Ones,digit,角度个位,C,4,3,0
Angle_Ones,digit,角度个位,D,6,3,0
Angle_Ones,digit,角度个位,E,4,4,0
Angle_Ones,digit,角度个位,F,0,4,0
Angle_Ones,digit,角度个位,G,2,4,0
Angle_Symbol,icon,角度符号°,deg,0,0,0
Angle_Tens,digit,角度十位,A,0,5,0
Angle_Tens,digit,角度十位,B,2,5,0
Angle_Tens,digit,角度十位,C,4,5,0
Angle_Tens,digit,角度十位,D,6,5,0
Angle_Tens,digit,角度十位,E,4,6,0
Angle_Tens,digit,角度十位,F,0,6,0
Angle_Tens,digit,角度十位,G,2,6,0
Base_s1,icon,基准激光头1,s1,7,7,88
Base_s19,icon,基准激光头2,s19,6,7,65
Base_s2,icon,基准前头,s2,7,8,261
Base_s20,icon,基准前头线,s20,6,8,0
Base_s21,icon,基准机身,s21,4,7,825
Base_s22,icon,基准中线1,s22,6,9,156
Base_s23,icon,基准中点,s23,4,8,0
Base_s24,icon,基准后线1,s24,2,8,0
Base_s25,icon,基准中线2,s25,4,9,80
Base_s26,icon,基准激光尾1,s26,2,7,0
Base_s27,icon,基准后头1,s27,0,8,44
Base_s28,icon,基准后线2,s28,2,9,80
Base_s29,icon,基准激光尾2,s29,0,7,0
Base_s30,icon,基准后头2,s30,0,9,0
Battery_Frame,icon,电池外框,s8,5,6,426
Battery_Grid1,icon,电池格1,s5,5,9,195
Battery_Grid2,icon,电池格2,s6,5,8,195
Battery_Grid3,icon,电池格3,s7,3,6,195
Beep_Off,icon,蜂鸣器关,beep_off,7,9,376
Beep_On,icon,蜂鸣器开,beep_on,5,10,402
Bluetooth,icon,蓝牙图标,BT,7,10,0
Line1_D1,digit,第一行第1位,A,1,53,387
Line1_D1,digit,第一行第1位,B,3,53,332
Line1_D1,digit,第一行第1位,C,6,53,332
Line1_D1,digit,第一行第1位,D,2,53,389
Line1_D1,digit,第一行第1位,E,4,53,332
Line1_D1,digit,第一行第1位,F,5,53,324
Line1_D1,digit,第一行第1位,G,7,53,257
Line1_D2,digit,第一行第2位,A,1,52,385
Line1_D2,digit,第一行第2位,B,3,52,335
Line1_D2,digit,第一行第2位,C,6,52,337
Line1_D2,digit,第一行第2位,D,2,52,387
Line1_D2,digit,第一行第2位,E,4,52,330
Line1_D2,digit,第一行第2位,F,5,52,326
Line1_D2,digit,第一行第2位,G,7,52,252
Line1_D3,digit,第一行第3位,A,3,51,388
Line1_D3,digit,第一行第3位,B,5,51,335
Line1_D3,digit,第一行第3位,C,4,51,335
Line1_D3,digit,第一行第3位,D,0,51,386
Line1_D3,digit,第一行第3位,E,2,51,335
Line1_D3,digit,第一行第3位,F,7,51,323
Line1_D3,digit,第一行第3位,G,6,51,255
Line1_D4,digit,第一行第4位,A,1,50,385
Line1_D4,digit,第一行第4位,B,3,50,334
Line1_D4,digit,第一行第4位,C,6,50,338
Line1_D4,digit,第一行第4位,D,2,50,388
Line1_D4,digit,第一行第4位,E,4,50,331
Line1_D4,digit,第一行第4位,F,5,50,327
Line1_D4,digit,第一行第4位,G,7,50,252
Line1_D5,digit,第一行第5位,A,3,49,386
Line1_D5,digit,第一行第5位,B,5,49,336
Line1_D5,digit,第一行第5位,C,4,49,335
Line1_D5,digit,第一行第5位,D,0,49,411
Line1_D5,digit,第一行第5位,E,2,49,334
Line1_D5,digit,第一行第5位,F,7,49,325
Line1_D5,digit,第一行第5位,G,6,49,277
Line1_DP1,icon,第一行小数点1,DP,0,52,64
Line1_DP2,icon,第一行小数点2,DP,0,53,64
Line1_DP3,icon,第一行小数点3,DP,0,50,66
Line1_Unit,unit,第一行单位bit0,U0,6,48,124
Line1_Unit,unit,第一行单位bit0,U1,4,47,45
Line1_Unit,unit,第一行单位bit0,U2,6,46,79
Line1_Unit,unit,第一行单位bit0,U3,6,45,376
Line2_D1,digit,第二行第1位,A,2,36,385
Line2_D1,digit,第二行第1位,B,4,36,334
Line2_D1,digit,第二行第1位,C,5,36,335
Line2_D1,digit,第二行第1位,D,1,36,387
Line2_D1,digit,第二行第1位,E,3,36,336
Line2_D1,digit,第二行第1位,F,6,36,332
Line2_D1,digit,第二行第1位,G,7,36,278
Line2_D2,digit,第二行第2位,A,0,37,386
Line2_D2,digit,第二行第2位,B,2,37,334
Line2_D2,digit,第二行第2位,C,7,37,334
Line2_D2,digit,第二行第2位,D,3,37,387
Line2_D2,digit,第二行第2位,E,5,37,333
Line2_D2,digit,第二行第2位,F,4,37,327
Line2_D2,digit,第二行第2位,G,6,37,279
Line2_D3,digit,第二行第3位,A,0,38,387
Line2_D3,digit,第二行第3位,B,2,38,336
Line2_D3,digit,第二行第3位,C,7,38,337
Line2_D3,digit,第二行第3位,D,3,38,383
Line2_D3,digit,第二行第3位,E,5,38,334
Line2_D3,digit,第二行第3位,F,4,38,325
Line2_D3,digit,第二行第3位,G,6,38,278
Line2_D4,digit,第二行第4位,A,0,39,386
Line2_D4,digit,第二行第4位,B,2,39,334
Line2_D4,digit,第二行第4位,C,7,39,332
Line2_D4,digit,第二行第4位,D,3,39,387
Line2_D4,digit,第二行第4位,E,5,39,328
Line2_D4,digit,第二行第4位,F,4,39,327
Line2_D4,digit,第二行第4位,G,6,39,280
Line2_D5,digit,第二行第5位,A,0,40,388
Line2_D5,digit,第二行第5位,B,2,40,338
Line2_D5,digit,第二行第5位,C,7,40,334
Line2_D5,digit,第二行第5位,D,3,40,389
Line2_D5,digit,第二行第5位,E,5,40,334
Line2_D5,digit,第二行第5位,F,4,40,321
Line2_D5,digit,第二行第5位,G,6,40,280
Line2_DP1,icon,第二行小数点1,DP,1,37,60
Line2_DP2,icon,第二行小数点2,DP,1,38,58
Line2_DP3,icon,第二行小数点3,DP,1,39,62
Line2_Unit,unit,第二行单位bit0,U0,1,40,126
Line2_Unit,unit,第二行单位bit0,U1,1,41,45
Line2_Unit,unit,第二行单位bit0,U2,1,43,80
Line2_Unit,unit,第二行单位bit0,U3,1,44,41
Line3_D1,digit,第三行第1位,A,3,17,387
Line3_D1,digit,第三行第1位,B,5,17,337
Line3_D1,digit,第三行第1位,C,4,17,333
Line3_D1,digit,第三行第1位,D,0,17,388
Line3_D1,digit,第三行第1位,E,2,17,333
Line3_D1,digit,第三行第1位,F,7,17,323
Line3_D1,digit,第三行第1位,G,6,17,279
Line3_D2,digit,第三行第2位,A,1,18,386
Line3_D2,digit,第三行第2位,B,3,18,336
Line3_D2,digit,第三行第2位,C,6,18,332
Line3_D2,digit,第三行第2位,D,2,18,386
Line3_D2,digit,第三行第2位,E,4,18,332
Line3_D2,digit,第三行第2位,F,5,18,327
Line3_D2,digit,第三行第2位,G,7,18,280
Line3_D3,digit,第三行第3位,A,1,19,387
Line3_D3,digit,第三行第3位,B,3,19,334
Line3_D3,digit,第三行第3位,C,6,19,333
Line3_D3,digit,第三行第3位,D,2,19,388
Line3_D3,digit,第三行第3位,E,4,19,332
Line3_D3,digit,第三行第3位,F,5,19,323
Line3_D3,digit,第三行第3位,G,7,19,279
Line3_D4,digit,第三行第4位,A,1,20,385
Line3_D4,digit,第三行第4位,B,3,20,335
Line3_D4,digit,第三行第4位,C,6,20,340
Line3_D4,digit,第三行第4位,D,2,20,389
Line3_D4,digit,第三行第4位,E,4,20,332
Line3_D4,digit,第三行第4位,F,5,20,326
Line3_D4,digit,第三行第4位,G,7,20,279
Line3_D5,digit,第三行第5位,A,3,21,386
Line3_D5,digit,第三行第5位,B,5,21,335
Line3_D5,digit,第三行第5位,C,4,21,335
Line3_D5,digit,第三行第5位,D,0,21,387
Line3_D5,digit,第三行第5位,E,2,21,334
Line3_D5,digit,第三行第5位,F,7,21,323
Line3_D5,digit,第三行第5位,G,6,21,278
Line3_DP1,icon,第三行小数点1,DP,0,18,63
Line3_DP2,icon,第三行小数点2,DP,0,19,63
Line3_DP3,icon,第三行小数点3,DP,0,20,60
Line3_Unit,unit,第三行单位bit0,U0,6,35,57
Line3_Unit,unit,第三行单位bit0,U1,4,34,38
Line3_Unit,unit,第三行单位bit0,U2,6,33,79
Line3_Unit,unit,第三行单位bit0,U3,6,32,40
Line4_D1,digit,第四行第1位,A,2,23,786
Line4_D1,digit,第四行第1位,B,4,23,691
Line4_D1,digit,第四行第1位,C,5,23,691
Line4_D1,digit,第四行第1位,D,1,23,788
Line4_D1,digit,第四行第1位,E,3,23,685
Line4_D1,digit,第四行第1位,F,6,23,672
Line4_D1,digit,第四行第1位,G,7,23,677
Line4_D2,digit,第四行第2位,A,0,24,787
Line4_D2,digit,第四行第2位,B,2,24,689
Line4_D2,digit,第四行第2位,C,7,24,691
Line4_D2,digit,第四行第2位,D,3,24,755
Line4_D2,digit,第四行第2位,E,5,24,686
Line4_D2,digit,第四行第2位,F,4,24,669
Line4_D2,digit,第四行第2位,G,6,24,678
Line4_D3,digit,第四行第3位,A,0,25,787
Line4_D3,digit,第四行第3位,B,2,25,688
Line4_D3,digit,第四行第3位,C,7,25,693
Line4_D3,digit,第四行第3位,D,3,25,755
Line4_D3,digit,第四行第3位,E,5,25,693
Line4_D3,digit,第四行第3位,F,4,25,669
Line4_D3,digit,第四行第3位,G,6,25,678
Line4_D4,digit,第四行第4位,A,0,26,786
Line4_D4,digit,第四行第4位,B,2,26,688
Line4_D4,digit,第四行第4位,C,7,26,693
Line4_D4,digit,第四行第4位,D,3,26,755
Line4_D4,digit,第四行第4位,E,5,26,686
Line4_D4,digit,第四行第4位,F,4,26,670
Line4_D4,digit,第四行第4位,G,6,26,678
Line4_D5,digit,第四行第5位,A,0,27,754
